timestamp,type,symbol,signalPrice,side,aggressiveVolume,passiveVolume,zone,refilled,confirmed,invalidationTime,invalidationReason,outcome
"2025-05-27T05:16:16.486Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:16.486Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:20.001Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:20.001Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:20.233Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:20.233Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:20.599Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:20.599Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:20.817Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:20.817Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:22.235Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:22.235Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:22.255Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:22.255Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:30.875Z","absorption","LTCUSDT","93.97","sell","124.61100000000002","215.125","94","false","false","2025-05-27T05:16:30.875Z","Timeout (no move)","fail"
"2025-05-27T05:16:30.879Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:30.879Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.073Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.073Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.349Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.349Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.353Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.353Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.355Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.355Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.357Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.357Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.359Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.359Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.361Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.361Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.362Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.362Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.363Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.363Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.365Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.365Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.366Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.366Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.367Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.367Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.368Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.368Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.369Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.369Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.370Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.370Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.371Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.371Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.372Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.372Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.373Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.373Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.374Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.374Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:31.404Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:31.404Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:32.798Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:32.798Z","Price revisited exhaustion level","fail"
"2025-05-27T05:16:33.238Z","exhaustion","LTCUSDT","93.97","buy","124.61100000000002","null","94","false","false","2025-05-27T05:16:33.238Z","Price revisited exhaustion level","fail"
"2025-05-27T05:33:56.291Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:33:56.291Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:03.739Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:03.739Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:04.980Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:04.980Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:05.585Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:05.585Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:11.432Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:11.432Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:11.437Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:11.437Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:11.695Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:11.695Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:11.843Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:11.843Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:11.928Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:11.928Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:12.274Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:12.274Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:13.441Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:13.441Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:13.723Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:13.723Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:13.795Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:13.795Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:13.837Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:13.837Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:16.368Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:16.368Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:19.121Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:19.121Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:19.378Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:19.378Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:20.180Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:20.180Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:20.185Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:20.185Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:20.795Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:20.795Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:23.254Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:23.254Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:23.259Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:23.259Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:24.510Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:24.510Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:24.514Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:24.514Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:24.554Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:24.554Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:24.554Z","exhaustion","LTCUSDT","93.87","sell","311.48699999999997","null","94","false","false","2025-05-27T05:34:24.554Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:27.493Z","exhaustion","LTCUSDT","94.01","buy","360.63399999999996","null","94","false","false","2025-05-27T05:34:27.493Z","Price revisited exhaustion level","fail"
"2025-05-27T05:34:27.493Z","exhaustion","LTCUSDT","93.87","sell","311.48699999999997","null","94","false","false","2025-05-27T05:34:27.493Z","Price revisited exhaustion level","fail"
