timestamp,price,quantity,side,tradeId
1750546800100,80.23,0.398,buy,293562679
1750546800319,80.24,0.32,buy,293562680
1750546801449,80.25,9.117,buy,293562681
1750546801452,80.26,0.389,buy,293562682
1750546801689,80.26,8.191,sell,293562683
1750546801693,80.26,0.196,sell,293562684
1750546801744,80.25,0.48,sell,293562685
1750546802457,80.24,3.226,sell,293562686
1750546802542,80.24,0.286,sell,293562687
1750546802643,80.24,0.236,sell,293562688
1750546806023,80.24,0.194,buy,293562689
1750546806800,80.24,0.118,buy,293562690
1750546807887,80.23,1.449,sell,293562691
1750546807921,80.22,1.181,sell,293562692
1750546808347,80.23,0.103,buy,293562693
1750546812101,80.24,19.617,buy,293562694
1750546812109,80.25,0.284,buy,293562695
1750546814716,80.25,12.372,sell,293562696
1750546816842,80.26,0.221,buy,293562697
1750546822961,80.25,0.623,sell,293562698
1750546823872,80.25,11.107,sell,293562699
1750546824249,80.25,0.942,sell,293562700
1750546833968,80.26,0.292,buy,293562701
1750546836053,80.26,0.189,sell,293562702
1750546836188,80.26,11.11,sell,293562703
1750546836862,80.27,1.363,buy,293562704
1750546839057,80.28,0.082,buy,293562705
1750546839072,80.28,12.778,buy,293562706
1750546839074,80.28,0.124,buy,293562707
1750546839080,80.28,0.675,sell,293562708
1750546839762,80.29,0.062,buy,293562709
1750546842235,80.28,11.106,sell,293562710
1750546842453,80.28,7.983,sell,293562711
1750546842456,80.28,0.185,sell,293562712
1750546842699,80.28,0.912,buy,293562713
1750546842911,80.28,23.363,buy,293562714
1750546842938,80.28,0.116,buy,293562715
1750546845397,80.28,4.576,buy,293562716
1750546846359,80.28,11.739,sell,293562717
1750546847555,80.28,0.085,sell,293562718
1750546848333,80.28,22.172,sell,293562719
1750546849511,80.29,0.416,buy,293562720
1750546853521,80.28,0.245,sell,293562721
1750546854672,80.29,0.125,buy,293562722
1750546856736,80.28,3.796,sell,293562723
1750546856869,80.28,0.262,sell,293562724
1750546857917,80.28,0.572,sell,293562725
1750546857917,80.27,0.246,sell,293562726
1750546860250,80.28,0.274,buy,293562727
