timestamp,price,quantity,side,tradeId
1750590006150,80.99,0.42,buy,293606584
1750590006575,80.99,0.452,buy,293606585
1750590006830,80.98,0.59,sell,293606586
1750590008522,80.99,0.13,buy,293606587
1750590009653,80.99,0.288,sell,293606588
1750590009874,80.98,0.248,sell,293606589
1750590010243,80.98,0.988,sell,293606590
1750590010759,80.99,1.341,buy,293606591
1750590012992,80.98,0.247,sell,293606592
1750590013459,80.99,0.412,buy,293606593
1750590013780,80.99,1.192,buy,293606594
1750590013827,81,1.171,buy,293606595
1750590014424,80.99,0.724,sell,293606596
1750590015483,80.98,0.384,sell,293606597
1750590015856,80.97,0.517,sell,293606598
1750590015872,80.96,1.181,sell,293606599
1750590016966,80.97,0.375,buy,293606600
1750590019795,80.97,0.29,buy,293606601
1750590019796,80.97,0.063,buy,293606602
1750590019932,80.98,0.449,buy,293606603
1750590019932,80.99,0.337,buy,293606604
1750590020042,80.99,0.291,buy,293606605
1750590021014,80.98,0.244,sell,293606606
1750590021598,80.99,0.124,buy,293606607
1750590023308,80.99,0.579,buy,293606608
1750590024316,81,0.331,buy,293606609
1750590025456,81,1.154,buy,293606610
1750590025509,81,0.13,buy,293606611
1750590026271,81,0.195,sell,293606612
1750590027296,80.99,0.891,sell,293606613
1750590027611,80.99,1.161,sell,293606614
1750590028783,81,1.25,buy,293606615
1750590033555,80.99,0.076,sell,293606616
1750590033555,81,0.303,buy,293606617
1750590036308,80.99,0.625,sell,293606618
1750590037741,81,0.325,buy,293606619
1750590039801,81.01,0.17,buy,293606620
1750590039803,81.01,0.223,buy,293606621
1750590040207,81.01,0.195,sell,293606622
1750590040312,81,0.26,sell,293606623
1750590040502,81,3.144,buy,293606624
1750590041871,81,0.341,buy,293606625
1750590042739,81,0.814,buy,293606626
1750590043397,81,4,buy,293606627
1750590044426,81,0.195,buy,293606628
1750590046854,81.01,0.325,buy,293606629
1750590047355,81.02,0.153,buy,293606630
1750590048404,81.01,4.653,sell,293606631
1750590053131,81.02,0.266,buy,293606632
1750590053280,81.02,0.202,buy,293606633
1750590054113,81.01,0.195,sell,293606634
1750590054547,81.01,0.633,buy,293606635
1750590055866,81,5.1,sell,293606636
1750590055959,81.01,0.76,buy,293606637
1750590057048,81.01,0.26,buy,293606638
1750590057048,81.02,0.209,buy,293606639
1750590063446,81.02,6.738,buy,293606640
1750590066311,81.03,0.099,buy,293606641
1750590067239,81.02,2.587,sell,293606642
1750590069164,81.02,0.288,sell,293606643
1750590069538,81.01,0.325,sell,293606644
1750590070064,81,0.295,sell,293606645
1750590079587,81.01,0.617,buy,293606646
1750590080944,81,0.26,sell,293606647
1750590082284,80.99,0.074,sell,293606648
1750590083988,80.99,0.316,sell,293606649
1750590086172,80.98,0.693,sell,293606650
1750590086172,80.97,0.307,sell,293606651
1750590086592,80.98,0.197,buy,293606652
1750590086708,80.97,0.151,sell,293606653
1750590088726,80.96,18.806,sell,293606654
1750590088726,80.95,75.387,sell,293606655
1750590088729,80.95,0.068,sell,293606656
1750590088801,80.96,1.886,buy,293606657
1750590088860,80.96,0.13,buy,293606658
1750590089295,80.97,0.431,buy,293606659
1750590092884,80.96,0.358,sell,293606660
1750590093893,80.97,0.338,buy,293606661
1750590094535,80.97,0.123,buy,293606662
1750590094644,80.97,3.877,buy,293606663
1750590094733,80.98,0.325,buy,293606664
1750590095106,80.99,0.497,buy,293606665
1750590095638,80.98,0.325,sell,293606666
1750590095912,80.97,0.325,sell,293606667
1750590095912,80.96,4.997,sell,293606668
1750590096016,80.95,1.156,sell,293606669
1750590096500,80.95,0.9,sell,293606670
1750590098292,80.95,0.195,sell,293606671
