timestamp,price,quantity,side,tradeId
1750600800616,79.23,0.452,buy,293632817
1750600800824,79.23,10.984,sell,293632818
1750600800831,79.22,0.222,sell,293632819
1750600800916,79.21,0.222,sell,293632820
1750600801003,79.21,5.51,buy,293632821
1750600801003,79.21,0.062,buy,293632822
1750600801003,79.22,1.291,buy,293632823
1750600801152,79.22,0.13,buy,293632824
1750600801289,79.23,0.533,buy,293632825
1750600801313,79.22,0.665,sell,293632826
1750600801327,79.22,1.184,sell,293632827
1750600801396,79.21,0.127,sell,293632828
1750600801462,79.21,1.181,buy,293632829
1750600801790,79.2,19.891,sell,293632830
1750600801798,79.21,0.44,buy,293632831
1750600802341,79.2,5.757,sell,293632832
1750600802584,79.2,0.07,sell,293632833
1750600803228,79.2,0.446,buy,293632834
1750600803508,79.19,1.211,sell,293632835
1750600804466,79.19,0.189,buy,293632836
1750600804697,79.19,1.091,buy,293632837
1750600805991,79.2,0.063,buy,293632838
1750600806238,79.2,1.181,buy,293632839
1750600806311,79.2,3.283,buy,293632840
1750600806312,79.2,0.065,buy,293632841
1750600807228,79.2,0.195,buy,293632842
1750600809054,79.21,0.705,buy,293632843
1750600810178,79.21,0.085,buy,293632844
1750600810192,79.21,0.371,buy,293632845
1750600810727,79.2,0.319,sell,293632846
1750600811089,79.2,12.377,sell,293632847
1750600811090,79.2,5.184,sell,293632848
1750600811169,79.19,1.181,sell,293632849
1750600811198,79.19,6.909,sell,293632850
1750600811198,79.18,1.879,sell,293632851
1750600811214,79.19,0.195,buy,293632852
1750600811227,79.19,1.181,sell,293632853
1750600811329,79.19,0.126,sell,293632854
1750600811360,79.2,0.959,buy,293632855
1750600812532,79.2,13.45,buy,293632856
1750600812533,79.2,0.065,buy,293632857
1750600812618,79.21,0.325,buy,293632858
1750600812834,79.22,0.063,buy,293632859
1750600815502,79.2,0.363,sell,293632860
1750600815858,79.21,17.357,buy,293632861
1750600816915,79.21,29.231,sell,293632862
1750600817485,79.21,0.195,buy,293632863
1750600817884,79.21,1.926,sell,293632864
1750600818879,79.2,0.127,sell,293632865
1750600819682,79.19,0.525,sell,293632866
1750600819825,79.2,1.424,buy,293632867
1750600819827,79.2,0.065,buy,293632868
1750600819842,79.21,0.322,buy,293632869
1750600819979,79.22,1.447,buy,293632870
1750600820441,79.22,0.079,buy,293632871
1750600823012,79.22,22.063,buy,293632872
1750600823013,79.22,0.065,buy,293632873
1750600823169,79.23,1.181,buy,293632874
1750600823293,79.22,0.299,sell,293632875
1750600825103,79.22,1.938,sell,293632876
1750600826173,79.23,1.262,buy,293632877
1750600826788,79.21,6.437,sell,293632878
1750600826788,79.2,6.465,sell,293632879
1750600827783,79.2,10.755,sell,293632880
1750600829178,79.2,2.523,buy,293632881
1750600830211,79.19,0.17,sell,293632882
1750600830340,79.2,0.2,buy,293632883
1750600830340,79.2,0.06,buy,293632884
1750600830483,79.21,15.411,buy,293632885
1750600830485,79.21,0.065,buy,293632886
1750600830779,79.22,15.536,buy,293632887
1750600830780,79.22,0.065,buy,293632888
1750600830807,79.23,0.387,buy,293632889
1750600830807,79.24,0.002,buy,293632890
1750600830822,79.24,1.181,buy,293632891
1750600831693,79.24,0.195,buy,293632892
1750600832092,79.25,0.522,buy,293632893
1750600832110,79.26,0.771,buy,293632894
1750600832506,79.27,0.643,buy,293632895
1750600834155,79.28,0.116,buy,293632896
1750600834799,79.27,5.461,sell,293632897
1750600835311,79.26,0.744,sell,293632898
1750600835502,79.26,4.227,sell,293632899
1750600835558,79.25,0.447,sell,293632900
1750600836621,79.24,0.542,sell,293632901
1750600836696,79.25,0.94,buy,293632902
1750600836844,79.23,0.127,sell,293632903
1750600836858,79.22,9.048,sell,293632904
1750600836914,79.22,0.771,sell,293632905
1750600837938,79.22,0.132,sell,293632906
1750600838132,79.23,0.325,buy,293632907
1750600838160,79.24,0.322,buy,293632908
1750600838215,79.25,0.859,buy,293632909
1750600839212,79.25,2.523,buy,293632910
1750600840614,79.25,0.585,buy,293632911
1750600840719,79.25,3.711,buy,293632912
1750600840965,79.26,0.452,buy,293632913
